epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3236,0.82473,1.76106,1.22186,0.54099,0.47377,0.48797,0.30456,1.69436,7.0621,2.13286,0.00054928,0.00054928,0.00054928
2,87.6646,1.08315,1.26426,1.40097,0.33055,0.36857,0.28833,0.13516,2.00478,5.30132,2.23477,0.00109401,0.00109401,0.00109401
3,123.657,1.10534,1.10346,1.39902,0.31916,0.60086,0.36402,0.2317,1.18781,14.9416,1.69064,0.00162773,0.00162773,0.00162773
4,161.053,1.07838,1.06391,1.37055,0.73184,0.57901,0.70891,0.49083,1.10995,1.5268,1.5939,0.00161749,0.00161749,0.00161749
5,200.009,1.08914,1.04364,1.38211,0.8659,0.81278,0.89739,0.63249,0.93529,1.5423,1.43172,0.00160099,0.00160099,0.00160099
6,238.954,1.0027,1.01784,1.32417,0.77295,0.81014,0.88642,0.61358,1.10663,1.85511,1.71581,0.00158448,0.00158448,0.00158448
7,276.134,0.92499,0.8619,1.2506,0.85112,0.87416,0.93192,0.6953,0.81866,0.81673,1.32076,0.00156798,0.00156798,0.00156798
8,313.535,0.88738,0.8544,1.25471,0.89611,0.92239,0.96589,0.7264,0.92475,1.05821,1.38553,0.00155148,0.00155148,0.00155148
9,351.014,0.85599,0.80893,1.23145,0.92329,0.93376,0.97379,0.76929,0.81368,0.64493,1.30123,0.00153497,0.00153497,0.00153497
10,387.884,0.84262,0.77134,1.21629,0.88925,0.90189,0.95633,0.72679,0.82799,0.86623,1.34802,0.00151847,0.00151847,0.00151847
11,423.908,0.82464,0.71725,1.19169,0.95274,0.95776,0.98466,0.79179,0.707,0.68216,1.24175,0.00150197,0.00150197,0.00150197
12,460.77,0.80943,0.71455,1.17782,0.92368,0.90821,0.97678,0.78161,0.7013,0.7,1.26264,0.00148546,0.00148546,0.00148546
13,496.743,0.79652,0.71852,1.18784,0.95341,0.88449,0.97408,0.79443,0.69516,0.59901,1.17148,0.00146896,0.00146896,0.00146896
14,533.673,0.75035,0.71548,1.14795,0.94187,0.97488,0.98805,0.82577,0.64343,0.57915,1.13536,0.00145246,0.00145246,0.00145246
15,570.81,0.75581,0.67142,1.16157,0.93856,0.96587,0.98228,0.77744,0.7115,0.61209,1.23147,0.00143595,0.00143595,0.00143595
16,606.871,0.75591,0.66397,1.1625,0.97521,0.95661,0.98708,0.82685,0.61382,0.50022,1.15252,0.00141945,0.00141945,0.00141945
17,644.072,0.69552,0.61316,1.11192,0.95816,0.92126,0.98226,0.8229,0.64005,0.5266,1.1083,0.00140295,0.00140295,0.00140295
